"id","links"
"F58","UC1,UC3,UC10,UC11,UC12,UC17,UC18,UC20,UC23"
"F59","UC1,UC3,UC10,UC11,UC12,UC17,UC18,UC19,UC20,UC21"
"F60","UC1,UC3,UC10,UC11,UC12,UC17,UC18,UC19,UC20,UC21"
"F61","UC1,UC3,UC10,UC11,UC12,UC17,UC18,UC20,UC21,UC23"
"F62","UC1,UC3,UC10,UC11,UC12,UC17,UC18,UC20,UC21,UC23"
"F63","UC1,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC12,UC14,UC15,UC16,UC17,UC18,UC19,UC23"
"F64","UC1,UC7,UC9,UC10,UC12,UC14,UC15,UC16,UC17,UC19"
"F65","UC7,UC9,UC16"
"F66","UC7,UC8,UC9,UC10,UC12,UC13,UC14,UC15,UC16,UC17"
"F67","UC7,UC8,UC9,UC10,UC12,UC13,UC14,UC15,UC16,UC17"
"F68","UC7,UC9,UC10,UC12,UC14,UC15,UC16,UC17"
"F69","UC7,UC8,UC9,UC10,UC12,UC13,UC14,UC15,UC16,UC17"
"F70","UC1,UC19"
"F71","UC1,UC19"
"F72","UC7,UC10,UC12,UC14,UC15,UC17"
"F73",""
"F74",""
"F75","UC1,UC5,UC6,UC7,UC19,UC23"
"F76","UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14,UC15,UC16,UC17,UC18,UC19,UC20,UC21,UC22"
"F77","UC1,UC7,UC9,UC16,UC19"
"F78","UC7,UC9,UC13,UC15,UC16"
"F79","UC1,UC19"
"F80","UC1,UC19"
